#,Title,Author,Database,Year
0,[re]folding Muqarnas: A case study,"Abbasy-Asbagh, Ghazal",ACADIA,2013
1,Magnetic Morphing,"Abdel-Rahman, Amira; Michalatos, Panagiotis  ",ACADIA,2017
2,Structural Gizmos,"Abdelmawla, S., Elnimeiri, M. and Krawczyk, R.",ACADIA,2000
3,One and Many: An Agent Perspective on Interactive Architecture,"Achten, Henri",ACADIA,2014
4,Algorithmic Design and Analysis Fusing Disciplines,"Aguiar, Rita; Cardoso, Carmo; Leit?o,Antï¿½nio",ACADIA,2017
5,Social Sensory Architectures: Articulating Textile Hybrid Structures for Multi-Sensory Responsiveness and Collaborative Play,"Ahlquist, Sean ",ACADIA,2015
6,Post-forming Composite Morphologies: Materialization and design methods for inducing form through textile material behavior,"Ahlquist, Sean",ACADIA,2014
7,Generative Robotics,"Ahlquist, Sean",ACADIA,2016
8,Programmable Matter,"Ahlquist, Sean",ACADIA,2016
9,Procedural Design,"Ahlquist, Sean",ACADIA,2016
10,PneumaKnit: Actuated Architectures Through Wale- and Course-Wise Tubular Knit-Constrained Pneumatic Systems,"Ahlquist, Sean; McGee, Wes; Sharmin, Shahida",ACADIA,2017
11,Behavior-based Computational Design Methodologies: Integrative processes for force defined material structures,"Ahlquist, Sean; Menges, Achim",ACADIA,2011
12,Frameworks for Computational Design of Textile Micro-Architectures and Material Behavior in Forming Complex Force-Active Structures,"Ahlquist, Sean; Menges, Achim",ACADIA,2013
13,Material & Space: Synthesis Strategies based on Evolutionary Developmental Biology,"Ahlquist, Sean; Moritz Fleischmann",ACADIA,2008
14,"Klimasymmetry, Locating Thermal Tactility","Ahrens, Chandler ",ACADIA,2015
15,WHITEOUT: Topological evolution of embedded geometries,"Ahrens, Chandler; Sprecher, Aaron; Neuman, Eran",ACADIA,2014
16,Tools of Expression: Notation and Interaction for Design Computation,"Aish, Robert ",ACADIA,2009
17,"Progress Towards Multi-Criteria Design Optimisation Using Designscript With Smart Form, Robot Structural Analysis and Ecotect Building Performance Analysis""","Aish, Robert ; Fisher, Al ; Joyce, Sam ; Marsh, Andrew",ACADIA,2012
18,The Forbidden Symmetries,"Ajlouni, Rima",ACADIA,2012
19,Simulation of Sound Diffusion Patterns of Fractal-Based Surface Profiles,"Ajlouni, Rima",ACADIA,2017
20,Performative Surfaces: Generating complex geometries using planar flow patterns,Akbarzadeh; Masoud,ACADIA,2013
21,An Electronic Design Assistance Tool for Case Based Representation of Designs,"Akin, O., Cumming, M. , Shealey, M. and Tuncer, B. ",ACADIA,1996
22,An Interactive Shape Modeling System for Robust Design of Functional 3D Shapes,"Akleman, E., Chen, J. and  Sirinivasan, V.",ACADIA,2001
23,Intuitive and Effective Design of Periodic Symmetric Tiles,"Akleman, E., Chen, J. and Meric, B.",ACADIA,2000
24,Representing the Aesthetics of Richard Meierï¿½s Houses Using Building Information Modeling,"Al-Assaf, Nancy S.; Clayton, Mark J.",ACADIA,2017
25,A Hypermedia Model for Supporting Energy Design in Buildings,"Al-Sallal, Khaled A. and Degelman, Larry 0.",ACADIA,1994
26,Luna Moth: Supporting Creativity in the Cloud,"Alfaiate, Pedro; Caetano, In?s; Leit?o, Antï¿½nio,(2017)</td> <td><A HREF=http://papers.cumincad.org/cgi-bin/works/paper/acadia17_72><B>Luna Moth: Supporting Creativity in the Cloud</B></A><br /><br /> ACADIA 2017: DISCIPLINES & DISRUPTION [Proceedings of the 37th Annual Conference of the Association for Computer Aided Design in Architecture",ACADIA,2017
27,The Generative Multi-Performance Design System,"Alfaris, Anas; Riccardo Merello",ACADIA,2008
28,Distortion,"Alkanoglu, Volkan",ACADIA,2014
29,Narrative Models: A Database Approach to Modeling Medieval Cairo,"Alsayyad, Nezar,  Elliott, Ame  and Kalay, Yehuda ",ACADIA,1996
30,Virtual Reality in Architectural Education: Defining Possibilities,"Alvarado, Rodrigo Garcia and Maver, Tom",ACADIA,1999
31,Eveï¿½s Four Faces interactive surface configurations,"Ambach, Barbara",ACADIA,2006
32,Envisioning Cyberspace:  The Design of On-Line Communities,"Anders, Peter ",ACADIA,1996
33,Beyond Y2k: A Look at Acadia's Present and Future,"Anders, Peter ",ACADIA,1999
34,Four Degrees Of Freedom,"Anders, Peter ",ACADIA,2003
35,Towards Comprehensive Space: A context for the programming/design of cybrids,"Anders, Peter ",ACADIA,2003
36,Cynergies: Technologies that Hybridize Physical and Cyberspaces,"Anders, Peter ",ACADIA,2003
37,"Designing Mixed Reality: Principles, Projects and Practice","Anders, Peter ",ACADIA,2007
38,STARS: Shared Transatlantic Augmented Reality System,"Anders, Peter and  Livingstone, Daniel",ACADIA,2001
39,AmbiViewer: A Tool for Creating Architectural Mixed Reality,"Anders, Peter and Lonsing, Werner",ACADIA,2005
